      56
       1       1      2904.93663932
       1       2        13.91569619
       1       3        -3.94951978
       1       4        -0.20100770
       1       5         0.00782046
       1       6         0.00028103
       1       7         0.00000991
       1       8        -0.00000035
       1       9        -0.00000001
       1      10         0.00000000
       1      11         0.00000000
       1      12         0.67408574
       1      13      -147.10211554
       1      14         0.60169028
       1      15         0.52831459
       1      16        -0.03032189
       1      17        -0.00129040
       1      18        -0.00004998
       1      19         0.00000188
       1      20         0.00000007
       1      21        -0.10866075
       1      22        15.02986124
       1      23         1.80195971
       1      24         0.02099892
       1      25         0.00058398
       1      26         0.00005011
       1      27         0.00000243
       1      28         0.18427296
       1      29         6.48596693
       1      30         5.66789711
       1      31         0.12019230
       1      32        -0.00147559
       1      33         0.00001225
       1      34         0.00000188
       1      35        -0.01641949
       1      36         1.91690496
       1      37         0.38876057
       1      38         0.00877182
       1      39        -0.00012278
       1      40         0.07053535
       1      41        -0.21336449
       1      42         1.61198619
       1      43         0.04050516
       1      44        -0.00078566
       1      45         0.00155703
       1      46        -0.24576077
       1      47        -0.08823509
       1      48         0.01973029
       1      49        -0.32978732
       1      50         0.37557694
       1      51         0.00962688
       1      52        -0.24209053
       1      53         0.13393574
       1      54         0.00010420
       1      55         0.00528864
       1      56         0.00430082
       2       2      3443.91765083
       2       3        19.45674223
       2       4         6.83193489
       2       5        -0.40233970
       2       6        -0.01753293
       2       7        -0.00069139
       2       8         0.00002638
       2       9         0.00000100
       2      10         0.00000004
       2      11         0.00000000
       2      12        83.74699192
       2      13        -5.28133008
       2      14      -209.15176043
       2      15        -0.98783428
       2      16         1.05520996
       2      17         0.06790799
       2      18         0.00317245
       2      19        -0.00013297
       2      20        -0.00000535
       2      21        -4.04459833
       2      22         3.23327460
       2      23        21.52468836
       2      24        -3.12454319
       2      25         0.04235614
       2      26        -0.00129892
       2      27        -0.00012297
       2      28       -20.46784172
       2      29         8.61730713
       2      30         9.84906471
       2      31        -9.82295150
       2      32         0.24132812
       2      33         0.00333148
       2      34        -0.00002944
       2      35        -0.20609429
       2      36         0.64490242
       2      37         2.75904315
       2      38        -0.67365021
       2      39         0.01760833
       2      40        -5.47368720
       2      41         2.33332406
       2      42        -0.12543291
       2      43        -2.79303265
       2      44         0.08126044
       2      45         0.05851123
       2      46        -0.13830778
       2      47        -0.35746482
       2      48        -1.30342612
       2      49         0.52676209
       2      50        -0.42707738
       2      51        -0.57874008
       2      52         0.18321781
       2      53        -0.32867163
       2      54        -0.03810269
       2      55        -0.30981822
       2      56        -0.23735167
       3       3      3982.29183225
       3       4       -23.55588972
       3       5         9.64925851
       3       6         0.63666941
       3       7         0.03044785
       3       8        -0.00129912
       3       9        -0.00005308
       3      10        -0.00000214
       3      11        -0.00000009
       3      12        -5.55537603
       3      13       117.08094497
